"Timestamp","What is your gender? ","What is your major/field of study? ","  What is your current year of study?  ","Are you a full-time student?","How often do you feel stressed because of your academic workload?","On average, how many hours per day do you spend on leisure activities?","Which leisure activity do you spend the most time on? ","How often do leisure activities interfere with your study time? ","Do you think you manage your time effectively between studying and leisure? ","Which area takes more of your daily time? ","How satisfied are you with your current balance between studying and leisure? ","Do you believe better time management would improve your academic performance? ","Would you like to improve the balance between your study time and leisure time? "
"2026/04/05 7:47:46 PM GMT+2","Female","Computer Science","Second year","Yes","Often","5–6 hours","Social media;Gaming","Always","No","Leisure activities","Very dissatisfied","Yes","Yes"
"2026/04/05 8:06:27 PM GMT+2","Female","Computer Science","Second year","Yes","Sometimes","More than 6 hours","Social media;Watching TV / movies","Often","No","Both equally","Dissatisfied","Yes","Yes"
"2026/04/05 8:11:23 PM GMT+2","Female","Engineering","First year","Yes","Always","5–6 hours","Social media;Watching TV / movies;Hanging out with friends","Often","No","Leisure activities","Very dissatisfied","Yes","Yes"
"2026/04/05 8:14:42 PM GMT+2","Male","Engineering","Second year","Yes","Always","3–4 hours","Social media;Watching TV / movies;Gaming;Sports / exercise;Hanging out with friends","Always","No","Both equally","Very satisfied","Yes","Yes"
"2026/04/05 8:41:40 PM GMT+2","Male","Cyber security and ethical hacking ","Third year","Yes","Often","3–4 hours","Social media;Watching TV / movies","Always","No","Leisure activities","Neutral","Yes","Yes"
"2026/04/05 8:41:47 PM GMT+2","Male","Engineering","Third year","Yes","Often","5–6 hours","Social media;Watching TV / movies;Hanging out with friends","Often","Yes","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 10:07:29 PM GMT+2","Female","Computer Science","Second year","Yes","Often","3–4 hours","Social media;Watching TV / movies;Hanging out with friends","Often","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 10:12:23 PM GMT+2","Female","Business","First year","Yes","Often","3–4 hours","Social media;Watching TV / movies","Maybe","Yes","Leisure activities","Satisfied","Yes","Yes"
"2026/04/06 3:01:30 AM GMT+2","Male","Engineering","Second year","Yes","Often","3–4 hours","Social media;Watching TV / movies;Hanging out with friends","Often","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/06 9:25:49 AM GMT+2","Male","Computer Science","Third year","Yes","Always","1–2 hours","Social media;Hanging out with friends","Maybe","No","Both equally","Very satisfied","Yes","Yes"
"2026/04/06 12:55:23 PM GMT+2","Male","Computer Science","First year","Yes","Sometimes","3–4 hours","Watching TV / movies;Gaming;Sports / exercise","Maybe","Yes","Both equally","Neutral","Yes","Yes"
"2026/04/06 1:42:26 PM GMT+2","Male","Business","First year","Yes","Sometimes","5–6 hours","Social media;Sports / exercise","Often","Yes","Leisure activities","Dissatisfied","Yes","Yes"
